file,backend,precision,selected_threshold,n_qubits,n_gates,depth,n_2q_gates,n_1q_gates,treewidth_heuristic,avg_degree,algebraic_connectivity,spectral_gap,magic_density,volume,n_lines,n_meas_regex,n_cx_regex,n_cz_regex,max_degree,clustering_coeff,num_components,max_component_size,avg_span,max_span
ae_indep_qiskit_130.qasm,CPU,double,16,130,9162,774,258,8904,128,127.01538461538462,0.0,5.684341886080802e-14,0.9292730844793713,100620,9167,130,258,0,128,0.9923076923076923,2,129,43.95959595959596,128
ae_indep_qiskit_130.qasm,CPU,single,16,130,9162,774,258,8904,128,127.01538461538462,0.0,5.684341886080802e-14,0.9292730844793713,100620,9167,130,258,0,128,0.9923076923076923,2,129,43.95959595959596,128
ae_indep_qiskit_130.qasm,GPU,double,2,130,9162,774,258,8904,128,127.01538461538462,0.0,5.684341886080802e-14,0.9292730844793713,100620,9167,130,258,0,128,0.9923076923076923,2,129,43.95959595959596,128
ae_indep_qiskit_130.qasm,GPU,single,2,130,9162,774,258,8904,128,127.01538461538462,0.0,5.684341886080802e-14,0.9292730844793713,100620,9167,130,258,0,128,0.9923076923076923,2,129,43.95959595959596,128
ae_indep_qiskit_20.qasm,CPU,double,4,20,307,114,38,269,18,17.1,0.0,7.105427357601002e-15,0.6807817589576547,2280,312,20,38,0,18,0.95,2,19,7.090909090909091,18
ae_indep_qiskit_20.qasm,CPU,single,4,20,307,114,38,269,18,17.1,0.0,7.105427357601002e-15,0.6807817589576547,2280,312,20,38,0,18,0.95,2,19,7.090909090909091,18
ae_indep_qiskit_20.qasm,GPU,double,4,20,307,114,38,269,18,17.1,0.0,7.105427357601002e-15,0.6807817589576547,2280,312,20,38,0,18,0.95,2,19,7.090909090909091,18
ae_indep_qiskit_20.qasm,GPU,single,4,20,307,114,38,269,18,17.1,0.0,7.105427357601002e-15,0.6807817589576547,2280,312,20,38,0,18,0.95,2,19,7.090909090909091,18
cutbell_n30_k6.qasm,CPU,double,2,30,42,3,6,36,1,0.4,0.0,0.0,0.0,90,46,30,6,0,1,0.0,24,2,15.0,15
cutbell_n30_k6.qasm,CPU,single,2,30,42,3,6,36,1,0.4,0.0,0.0,0.0,90,46,30,6,0,1,0.0,24,2,15.0,15
cutbell_n30_k6.qasm,GPU,double,2,30,42,3,6,36,1,0.4,0.0,0.0,0.0,90,46,30,6,0,1,0.0,24,2,15.0,15
cutbell_n30_k6.qasm,GPU,single,2,30,42,3,6,36,1,0.4,0.0,0.0,0.0,90,46,30,6,0,1,0.0,24,2,15.0,15
dj_indep_qiskit_130.qasm,CPU,double,1,130,518,132,129,389,1,1.9846153846153847,0.9999999999999316,128.99999999999983,0.22972972972972974,17160,522,129,129,0,129,0.0,1,130,65.0,129
dj_indep_qiskit_130.qasm,CPU,single,1,130,518,132,129,389,1,1.9846153846153847,0.9999999999999316,128.99999999999983,0.22972972972972974,17160,522,129,129,0,129,0.0,1,130,65.0,129
dj_indep_qiskit_130.qasm,GPU,double,1,130,518,132,129,389,1,1.9846153846153847,0.9999999999999316,128.99999999999983,0.22972972972972974,17160,522,129,129,0,129,0.0,1,130,65.0,129
dj_indep_qiskit_130.qasm,GPU,single,1,130,518,132,129,389,1,1.9846153846153847,0.9999999999999316,128.99999999999983,0.22972972972972974,17160,522,129,129,0,129,0.0,1,130,65.0,129
dj_indep_qiskit_15.qasm,CPU,double,1,15,58,17,14,44,1,1.8666666666666667,0.9999999999999989,13.999999999999998,0.3275862068965517,255,62,14,14,0,14,0.0,1,15,7.5,14
dj_indep_qiskit_15.qasm,CPU,single,1,15,58,17,14,44,1,1.8666666666666667,0.9999999999999989,13.999999999999998,0.3275862068965517,255,62,14,14,0,14,0.0,1,15,7.5,14
dj_indep_qiskit_15.qasm,GPU,double,1,15,58,17,14,44,1,1.8666666666666667,0.9999999999999989,13.999999999999998,0.3275862068965517,255,62,14,14,0,14,0.0,1,15,7.5,14
